YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,5,20,6,5/20/2023 0:00,DL,N363DN,14679,1467903,33570,SAN,"San Diego, CA",CA,California,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1515,1503,-12,0,0,11,1514,2025,5,2043,2030,-13,0,0,0
2023,5,31,3,5/31/2023 0:00,AS,N549AS,14908,1490803,32575,SNA,"Santa Ana, CA",CA,California,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,1910,1904,-6,0,0,18,1922,2144,14,2159,2158,-1,0,0,0
2023,5,29,1,5/29/2023 0:00,YX,N425YX,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,1200,1147,-13,0,0,14,1201,1301,21,1357,1322,-35,0,0,0
2023,5,27,6,5/27/2023 0:00,NK,N947NK,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,15024,1502403,34945,STT,"Charlotte Amalie, VI",VI,U.S. Virgin Islands,1305,1322,17,17,1,17,1339,1548,2,1538,1550,12,12,0,0
2023,5,19,5,5/19/2023 0:00,DL,N981AT,10781,1078105,30781,BTR,"Baton Rouge, LA",LA,Louisiana,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,1910,1854,-16,0,0,10,1904,2107,31,2147,2138,-9,0,0,0
2023,5,16,2,5/16/2023 0:00,WN,N1811U,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,940,1007,27,27,1,15,1022,1443,5,1430,1448,18,18,1,0
2023,5,13,6,5/13/2023 0:00,DL,N323DN,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1216,1213,-3,0,0,17,1230,1436,4,1443,1440,-3,0,0,0
2023,5,6,6,5/6/2023 0:00,UA,N889UA,14679,1467903,33570,SAN,"San Diego, CA",CA,California,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,1542,1545,3,3,0,11,1556,1706,7,1722,1713,-9,0,0,0
2023,5,2,2,5/2/2023 0:00,WN,N8600F,11259,1125904,30194,DAL,"Dallas, TX",TX,Texas,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,2010,2022,12,12,0,9,2031,2128,3,2130,2131,1,1,0,0
2023,5,24,3,5/24/2023 0:00,AS,N523AS,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,12339,1233904,32337,IND,"Indianapolis, IN",IN,Indiana,1030,1022,-8,0,0,28,1050,1746,3,1745,1749,4,4,0,0
2023,5,1,1,5/1/2023 0:00,OH,N522AE,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,South Carolina,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,1604,1558,-6,0,0,13,1611,1744,4,1745,1748,3,3,0,0
2023,5,5,5,5/5/2023 0:00,B6,N944JT,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,12478,1247805,31703,JFK,"New York, NY",NY,New York,59,112,13,13,0,11,123,907,4,925,911,-14,0,0,0
2023,5,29,1,5/29/2023 0:00,DL,N392DN,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,2140,2135,-5,0,0,9,2144,2249,14,2304,2303,-1,0,0,0
2023,5,14,7,5/14/2023 0:00,MQ,N247NN,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,North Carolina,10423,1042302,30423,AUS,"Austin, TX",TX,Texas,1217,1247,30,30,1,11,1258,1440,13,1429,1453,24,24,1,0
2023,5,3,3,5/3/2023 0:00,UA,N16217,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1301,1306,5,5,0,29,1335,1442,6,1443,1448,5,5,0,0
2023,5,26,5,5/26/2023 0:00,AS,N428AS,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,13891,1389101,32575,ONT,"Ontario, CA",CA,California,1730,1726,-4,0,0,17,1743,1947,3,2002,1950,-12,0,0,0
2023,5,17,3,5/17/2023 0:00,YX,N979RP,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,Pennsylvania,1352,1345,-7,0,0,20,1405,1501,6,1519,1507,-12,0,0,0
2023,5,7,7,5/7/2023 0:00,WN,N278WN,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1845,1852,7,7,0,14,1906,2037,4,2045,2041,-4,0,0,0
2023,5,9,2,5/9/2023 0:00,YX,N760YX,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,12339,1233904,32337,IND,"Indianapolis, IN",IN,Indiana,725,721,-4,0,0,24,745,917,5,928,922,-6,0,0,0
2023,5,25,4,5/25/2023 0:00,OO,N274SY,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,14893,1489302,33192,SMF,"Sacramento, CA",CA,California,1135,1141,6,6,0,28,1209,1331,4,1333,1335,2,2,0,0
2023,5,27,6,5/27/2023 0:00,WN,N8810L,12191,1219103,31453,HOU,"Houston, TX",TX,Texas,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,935,935,0,0,0,11,946,1242,5,1255,1247,-8,0,0,0
