YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,2,5,7,2/5/2023 0:00,AA,19805,N753US,1776,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,1352,1429,37,37,1,1300-1359,12,1441,1538,4,1515,1542,27,27,1,0,83,73,57,1,280
2023,2,6,1,2/6/2023 0:00,AA,19805,N991AN,2038,12478,1247805,31703,JFK,"New York, NY",NY,New York,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,1910,2004,54,54,1,1900-1959,12,2016,2139,8,2119,2147,28,28,1,0,129,103,83,1,541
2023,2,5,7,2/5/2023 0:00,YX,20452,N133HQ,4527,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,11193,1119302,33105,CVG,"Cincinnati, OH",KY,Kentucky,1100,1054,-6,0,0,1100-1159,11,1105,1224,6,1248,1230,-18,0,0,0,108,96,79,1,411
2023,2,6,1,2/6/2023 0:00,DL,19790,N3752,1470,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,1210,1202,-8,0,0,1200-1259,12,1214,1404,11,1429,1415,-14,0,0,0,199,193,170,1,1107
2023,2,2,4,2/2/2023 0:00,9E,20363,N908XJ,4804,14685,1468502,34685,SAV,"Savannah, GA",GA,Georgia,12478,1247805,31703,JFK,"New York, NY",NY,New York,715,709,-6,0,0,0700-0759,15,724,900,8,924,908,-16,0,0,0,129,119,96,1,718
2023,2,5,7,2/5/2023 0:00,OO,20304,N975SW,5839,10561,1056103,30561,BFL,"Bakersfield, CA",CA,California,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,522,514,-8,0,0,0001-0559,18,532,822,7,900,829,-31,0,0,0,158,135,110,1,845
2023,2,3,5,2/3/2023 0:00,AA,19805,N562UW,1322,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1638,1637,-1,0,0,1600-1659,13,1650,1722,8,1742,1730,-12,0,0,0,124,113,92,1,641
2023,2,2,4,2/2/2023 0:00,OO,20304,N933EV,5068,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,15582,1558203,35582,VEL,"Vernal, UT",UT,Utah,1213,1232,19,19,1,1200-1259,14,1246,1326,4,1327,1330,3,3,0,0,74,58,40,1,259
2023,2,5,7,2/5/2023 0:00,DL,19790,N660DL,1512,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,1015,1013,-2,0,0,1000-1059,51,1104,1225,6,1209,1231,22,22,1,0,114,138,81,1,581
2023,2,4,6,2/4/2023 0:00,9E,20363,N298PQ,4640,11146,1114608,31146,CRW,"Charleston/Dunbar, WV",WV,West Virginia,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,1400,1355,-5,0,0,1400-1459,16,1411,1507,5,1540,1512,-28,0,0,0,100,77,56,1,363
