YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,6,10,6,6/10/2023 0:00,OO,N827SK,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,11537,1153706,31537,ELM,"Elmira/Corning, NY",NY,New York,2135,2129,-6,0,0,21,2150,2236,4,2249,2240,-9,0,0,0
2023,6,8,4,6/8/2023 0:00,WN,N7751A,13198,1319801,33198,MCI,"Kansas City, MO",MO,Missouri,14679,1467903,33570,SAN,"San Diego, CA",CA,California,1850,1906,16,16,1,9,1915,2016,3,2000,2019,19,19,1,0
2023,6,2,5,6/2/2023 0:00,B6,N536JB,12451,1245102,31136,JAX,"Jacksonville, FL",FL,Florida,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,1959,2105,66,66,1,14,2119,2209,3,2119,2212,53,53,1,0
2023,6,5,1,6/5/2023 0:00,AS,N952AK,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,815,807,-8,0,0,29,836,1704,4,1715,1708,-7,0,0,0
2023,6,24,6,6/24/2023 0:00,NK,N633NK,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,North Carolina,1704,1719,15,15,1,15,1734,1901,8,1859,1909,10,10,0,0
2023,6,30,5,6/30/2023 0:00,AS,N953AK,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,Oklahoma,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,1410,1403,-7,0,0,23,1426,1544,11,1600,1555,-5,0,0,0
2023,6,11,7,6/11/2023 0:00,AA,N189UW,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,1322,1403,41,41,1,12,1415,1604,12,1547,1616,29,29,1,0
2023,6,22,4,6/22/2023 0:00,G4,286NV,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,10431,1043106,30431,AVL,"Asheville, NC",NC,North Carolina,1552,1641,49,49,1,23,1704,2335,7,2258,2342,44,44,1,0
2023,6,10,6,6/10/2023 0:00,WN,N476WN,14908,1490803,32575,SNA,"Santa Ana, CA",CA,California,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1325,1327,2,2,0,8,1335,1415,6,1430,1421,-9,0,0,0
2023,6,13,2,6/13/2023 0:00,WN,N8529Z,13796,1379610,32457,OAK,"Oakland, CA",CA,California,14570,1457002,34570,RNO,"Reno, NV",NV,Nevada,2010,2239,149,149,1,18,2257,2332,3,2105,2335,150,150,1,0
